Date       ,Group             ,Presenter           ,Person                                                 ,Combination                           ,Combination Version ,Extension/Package of Term ID ,Term ID                                    ,Feedback                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Bianca Bonucci                                         ,AncientHost-associatedMIMS            ,v0.1.0              ,mims                         ,env_broad_scale                            ,"Descriptions and examples are very ecology-based… it also uses terms like ‘time of sampling' and ‘where the sample was collected', which can be tricky in an archaeological and aDNA context. What is collection when it comes to samples?"                                                                                                                                                                                                                                                                                                                                                                                                                ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Bianca Bonucci                                         ,AncientHost-associatedMIMS            ,v0.1.0              ,mims                         ,temp                                       ,"Do not have access to the field notes, and even then I'm not sure they were so detailed"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Bianca Bonucci                                         ,AncientHost-associatedMIMS            ,v0.1.0              ,ancient                      ,site_type                                  ,Only applicable to sediment cores?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Bianca Bonucci                                         ,AncientHost-associatedMIMS            ,v0.1.0              ,ancient                      ,cultural_era                               ,I couldn't find an applicable cultural period in chronontology                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Bianca Bonucci                                         ,AncientHost-associatedMIMS            ,v0.1.0              ,ancient                      ,neg_cont_status                            ,"TRUE/FALSE? YES/NO? Needs specific example (when I see boolean I think TRUE/FALSE, but that might differ)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Bianca Bonucci                                         ,AncientHost-associatedMIMS            ,v0.1.0              ,host-associated              ,host_age                                   ,"Can rarely be determined reliably, and if the information is provided, more information would be needed on how this was determined, i.e., osteological methods"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Bianca Bonucci                                         ,AncientHost-associatedMIMS            ,v0.1.0              ,host-associated              ,host_body_product                          ,Technically…                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Bianca Bonucci                                         ,AncientHost-associatedMIMS            ,v0.1.0              ,host-associated              ,host_body_site                             ,Calculus technically comes from a tooth but the tooth itself is not sampled…                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Bianca Bonucci                                         ,AncientHost-associatedMIMS            ,v0.1.0              ,host-associated              ,host_dry_mass                              ,"Dry mass of the host? E.g., the human that had the calculus? What about the weight of the sample?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Bianca Bonucci                                         ,AncientHost-associatedMIMS            ,v0.1.0              ,host-associated              ,samp_store_dur                             ,What about a question if there is residual material from the analysis (boolean – T/F)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,James Fellows Yates                                    ,Host-associatedMIGSBacteria + Ancient ,v0.1.0              ,host-associated              ,host_taxid                                 ,"Put example for host taxid in legend: Format ""123456"" or ""NCBI:txid123456"" is not yet specified in legend"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Maria Lopopolo                                         ,Host-associatedMIGSBacteria + Ancient ,v0.1.0              ,ancient                      ,storage_conditions                         ,"storage metadata, split into two categories? Bone vs extract/library"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,"Marica Baldoni, Lena Granehäll"                       ,Host-associatedMIGSBacteria + Ancient ,v0.1.0              ,mims                         ,env_broad_scale                            ,(and env_local_scale) important to give more guidances. What about a coffin or crypt? There is no soil around it! Useful because if there is soil: more contamination (Meriam: would site_type work? Not necessarily). Collection date vs recovery date → needs better description or be able to distinguish                                                                                                                                                                                                                                                                                                                                                ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Zoe Pochon                                             ,Host-associatedMIGSBacteria + Ancient ,v0.1.0              ,ancient                      ,sample_age                                 ,"sample age, why not compulsory?  Maybe a range at least? But Q: if clearly ancient (has damage patterns etc.)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Zoe Pochon                                             ,Host-associatedMIGSBacteria + Ancient ,v0.1.0              ,host-associated              ,host_taxid                                 ,"Host-tax ID why is that not mandatory?
                                                                                                                                                                                                                                                  Should be made more required → E?
                                                                                                                                                                                                                                                  Particularly for pathogens → add to the
                                                                                                                                                                                                                                                  Need to be made clearer the structure of e.g. ENA sample → experiment → run → analysis"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Wengqin Yu                                             ,Host-associatedMIGSBacteria + Ancient ,v0.1.0              ,host-associated              ,host_shape                                 ,"what is the host_shape (microbiome specific table → host_associated)?
                                                                                                                                                                                                                                                  Don't have to fill it in
                                                                                                                                                                                                                                                  Very unclear! Same with host colour"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Wengqin Yu                                             ,Host-associatedMIGSBacteria + Ancient ,v0.1.0              ,host-associated              ,host_color                                 ,"what is the host_shape (microbiome specific table → host_associated)?
                                                                                                                                                                                                                                                  Don't have to fill it in
                                                                                                                                                                                                                                                  Very unclear! Same with host colour"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Maria Lopopolo                                         ,Host-associatedMIGSBacteria + Ancient ,v0.1.0              ,mims                         ,collection_date                            ,"does that correspond to the archaeological excavation, or the drilling of the bones"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Lena Granehäll                                         ,Host-associatedMIGSBacteria + Ancient ,v0.1.0              ,mims                         ,lib_screen                                 ,"captures → lib_screen, should it be mandatory? Or at least saying capture yes or not"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Wengqin Yu                                             ,Host-associatedMIGSBacteria + Ancient ,v0.1.0              ,host-associated              ,Host_body_site                             ,"human remains, sampling the body parts → where is that indicated? Host_body_site? Env_local_scale also allows body type
                                                                                                                                                                                                                                                  Need to make this much clearer which goes where!"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Biancamaria Bonucci                                    ,Host-associatedMIGSBacteria + Ancient ,v0.1.0              ,mims                         ,env_broad_scale                            ,"broad/local/medium scale → still very confusing  Material in which you did the sampling → sampling in aDNA would be lab? Would it be ‘air'? Sampling has specific meaning in ancient DNA (sort of more would be like burial environment)
                                                                                                                                                                                                                                                  What about samples left in a collection for a very long time? What if the original e.g. burial environment information is lost now?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-11 ,GeoGenetics       ,James/Antonio       ,Søren Overballe-Petersen                               ,AncientSedimentMIMS                   ,0.1.1               ,ancient                      ,lib_type                                   ,"Should be renamed, it's not really a lib_type but rather the input to library creation (i.e., DNA is already amplified with marker speicifc primers prior construction to sequencing library)"                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-11 ,GeoGenetics       ,James/Antonio       ,Lasse Vinner                                           ,AncientSedimentMIMS                   ,0.1.1               ,ancient                      ,site_type                                  ,Unclear what this is exactly compared to the env_medium_scale or env_local_scale terms... (the env_* terms really need more guidance and examples...)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-11 ,GeoGenetics       ,James/Antonio       ,Abigail Ramsøe                                         ,AncientSedimentMIMS                   ,0.1.1               ,mims                         ,adapter                                    ,Unclear what the actual sequencing required is: just the adapter itself (e.g. standard illumina) or plus index sequence too? Just sequences that need to be trimmed? What about barcodes?                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-11 ,GeoGenetics       ,James/Antonio       ,Xihan Chen                                             ,AncientSedimentMIMS                   ,0.1.1               ,ancient                      ,lib_reamplfication_polymerase              ,"Definition is rather unclear, reamplification at what stage? (JFY: need to specify it's the one that can influence presence of damage)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-11 ,GeoGenetics       ,James/Antonio       ,Xihan Chen/Lasse Vinner                                ,AncientSedimentMIMS                   ,0.1.1               ,ancient                      ,num_reamp_cycles                           ,"Should explicitly state if this is for capture experiments (where it's most relevant), but defintion needs to be more clear -> before or post-capture reamplification? What if there are multiple rounds of capture? Only required if it's capture data; but given can have multiple rounds of amplification cycles at different stages maybe it's not too complicaited and not sufficiently useful enough/relevant for analysis to be worth keeping?"                                                                                                                                                                                                     ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-11 ,GeoGenetics       ,James/Antonio       ,Xihan Chen/Lasse Vinner                                ,AncientSedimentMIMS                   ,0.1.1               ,ancient                      ,lib_concentration                          ,"Very unlikely most labs have a qPCR sufficient (very expensive), for purposes of JFY (contamiantion estimation with decontam), other less recise/semi-quantitive alternatives might be better -> molarity? Another alternative is fragment analyser as then quantification in specific size range (but must ensure same for negative control"                                                                                                                                                                                                                                                                                                              ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-11 ,GeoGenetics       ,James/Antonio       ,Lasse Vinner                                           ,AncientSedimentMIMS                   ,0.1.1               ,mims                         ,depth                                      ,Not super clear where this refers to when it comes to e.g. a lake; is it useful when don't have water surface depth (new field: water_depth)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-11 ,GeoGenetics       ,James/Antonio       ,Magnus Johannsen                                       ,AncientSedimentMIMS                   ,0.1.1               ,mims                         ,depth                                      ,"Mentions intervals, but format isn't clear how this should be indicated - or might be better to have two other distcrete (depth_from, depth_to)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-11 ,GeoGenetics       ,James/Antonio       ,Magnus Johannsen                                       ,AncientSedimentMIMS                   ,0.1.1               ,mims                         ,geo_loc_name                               ,"Maybe should be split into separate fields for country vs region, current system seems inclear due to mixing of ontology and free text"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-12 ,GLOBE             ,James / Antonio     ,Motahareh Feizabadifarahani                            ,MimsHostAssociated + Ancient          ,0.1.0               ,mims                         ,lib_layout                                 ,Should be mandatory!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-12 ,GLOBE             ,James / Antonio     ,Motahareh Feizabadifarahani                            ,MimsHostAssociated + Ancient          ,0.1.0               ,mims                         ,sample_age                                 ,"Must make it mandatory to include lab code of dating method (JFY: can maybe have a multi-section expected value/regex; ""{method free text};{dating lab code})"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-12 ,GLOBE             ,James / Antonio     ,Mikkel Winther Pedersen                                ,MimsSediment+Ancient                  ,0.1.0               ,mims                         ,indexing_polymerase                        ,Should be made mandatory (JFY: but what if using kit with not the explicit polymerase listed?)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-12 ,GLOBE             ,James / Antonio     ,Mikkel Winther Pedersen                                ,MimsSediment+Ancient                  ,0.1.0               ,mims                         ,sop                                        ,Should be mandatory (JFY: overlap with experiemetnal_procedures?)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-12 ,GLOBE             ,James / Antonio     ,Mikkel Winther Pedersen                                ,MimsSediment+Ancient                  ,0.1.0               ,mims                         ,experimental_procedures                    ,Should be mandatory (JFY: overlap with SOP?)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-12 ,GLOBE             ,James / Antonio     ,Mikkel Winther Pedersen                                ,MimsSediment+Ancient                  ,0.1.0               ,mims                         ,adapters                                   ,"Should be mandatory (JFY: but if all been removed, necessary? But maybe if bad job and residual?)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-12 ,GLOBE             ,James / Antonio     ,Anna White                                             ,MimsHostAssociated + Ancient          ,0.1.0               ,mims                         ,site_type                                  ,"Doesn't this overlap with env_medium_scale term (JFY: strongly think yes, but should clarify with Pete and Anan again...)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      ,          ,       ,            ,                    ,                             ,        ,
03/08/24   ,Eurac             ,Mohamed             ,Lena/Frank/Diane                                       ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,site_type                                  ,Should be mandatory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      ,          ,       ,            ,                    ,                             ,        ,
03/08/24   ,Eurac             ,Mohamed             ,Lena/Frank/Diane                                       ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,collection_date                            ,mandatory 1/4 votes. non-mandatory 3/4 votes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      ,          ,       ,            ,                    ,                             ,        ,
03/08/24   ,Eurac             ,Mohamed             ,Lena/Frank/Diane                                       ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,host_common_name                           ,Should be mandatory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      ,          ,       ,            ,                    ,                             ,        ,
03/08/24   ,Eurac             ,Mohamed             ,Lena/Frank/Diane                                       ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,env_broad_scale                            ,optional if site_type is mandatory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      ,          ,       ,            ,                    ,                             ,        ,
03/08/24   ,Eurac             ,Mohamed             ,Lena/Frank/Diane                                       ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,env_local_scale                            ,optional if site_type is mandatory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      ,          ,       ,            ,                    ,                             ,        ,
03/08/24   ,Eurac             ,Mohamed             ,Lena/Frank/Diane                                       ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,source_mat_id                              ,"Should be mandatory. New term proposal: ""collection_id"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-11 ,GeoGenetics       ,James/Antonio       ,Søren Overballe-Petersen                               ,AncientSedimentMIMS                   ,0.1.1               ,mims                         ,lib_vector                                 ,"General inconsistency in labels between clonal libraries (lib_vector) vs sequencing libraryes (e.g. lib_concentration, or lib_reads_seqd), naming should be reconsidered to distinguish "                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-12 ,GLOBE             ,James / Antonio     ,Mikkel Winther Pedersen                                ,MimsSediment+Ancient                  ,0.1.0               ,mims                         ,samp_vol_we_dna_ext                        ,Should be mandatory (for sediment at least -> want to know if it's extracted from 0.2 or 2g)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-12 ,GLOBE             ,James / Antonio     ,Motahareh Feizabadifarahani                            ,MimsHostAssociated + Ancient          ,0.1.0               ,mims                         ,lib_type                                   ,Should include 'capture' as a lib type alongside amplicon and shotgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      ,          ,       ,            ,                    ,                             ,        ,
2024-06-12 ,GLOBE             ,James / Antonio     ,Yuejiao Huang                                          ,MimsHostAssociated + Ancient          ,0.1.0               ,mims                         ,alt_lab_id                                 ,"Maybe make mandatory (however what if there is actually a single ID used consistently throughtout the publication, maybe just 'recommended'?)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      ,          ,       ,            ,                    ,                             ,        ,
